Time Published,Ticker,Overall Sentiment Score,Ticker Sentiment Score
20240404T140006,KMX,0.152387,0.059693
20240411T123113,FFIV,0.135797,-0.013572
20240401T111500,CPT,0.279012,0.13547
20240403T162233,BBWI,0.102595,-0.097418
20240403T062800,HRL,0.234336,0.300208
20240401T153600,UHS,0.307135,0.188606
20240401T110000,TECH,0.477085,0.094572
20240401T130000,APA,0.388357,0.249432
20240401T164100,MOS,0.073156,0.137837
20240402T103000,TFX,0.255133,0.387033
20240401T123000,INCY,0.149662,0.346913
20240411T140500,REG,0.32345,0.171678
20240401T110000,HSIC,0.243128,0.056004
20240402T125010,WYNN,0.342424,0.411136
20240404T153127,TPR,-0.184274,0.173213
20240401T134014,AIZ,0.387068,0.573218
20240401T130000,CPB,0.34066,0.015212
20240410T122400,BXP,-0.138322,-0.233841
20240405T111700,PNW,0.321052,0.160207
20240401T092100,HAS,0.132608,0.098788
20240401T170129,BWA,0.166391,-0.038556
20240404T153700,MKTX,0.207026,0.023748
20240404T124900,RHI,0.470405,0.349942
20240401T121500,DVA,0.226527,0.043915
20240406T093848,BEN,0.289597,0.227786
20240401T165200,CMA,0.121514,0.0
20240401T033042,IVZ,0.334191,0.0
20240401T101500,RL,0.154945,0.251252
20240402T215800,GL,0.502973,0.379454
20240405T190600,MHK,0.177972,0.277091
20240407T055843,BIO,0.237766,0.361581
20240301T064511,AAPL,0.104359,0.26746
20240301T001116,NVDA,0.194284,0.299618
20240301T004100,AMZN,0.233478,0.082214
20240301T011734,GOOG,0.178726,0.042325
20240301T060757,LLY,0.046192,0.065924
20240301T112006,XOM,0.224767,0.124092
20240301T004100,UNH,0.233478,0.082214
20240301T075900,PG,0.32521,0.055131
20240301T020847,JNJ,0.218348,0.02422
20240301T173826,HD,-0.075262,-0.074819
20240301T114400,COST,0.039702,0.147188
20240301T121000,CVX,0.31239,0.106097
20240301T011512,BAC,0.30947,0.0
20240301T080000,WMT,0.122374,0.230356
20240301T012600,AMD,0.202543,-0.017698
20240301T014846,NFLX,0.263709,0.112891
20240301T000000,PEP,0.361155,0.108968
20240301T010247,KO,0.112051,0.037886
20240301T003600,TMO,0.329424,0.041975
20240301T120900,ADBE,-0.066188,0.022853
20240301T001300,WFC,0.218339,0.193887
20240301T120400,LIN,0.262647,0.202637
20240301T011734,DIS,0.178726,0.042325
20240301T140000,MCD,0.157435,0.027923
20240301T221200,CSCO,0.124651,0.052053
20240301T033600,ACN,0.363563,0.035579
20240301T060000,ORCL,0.205792,0.0
20240301T163050,ABT,0.160819,0.386944
20240301T001200,QCOM,0.422873,0.105083
20240301T224500,INTU,0.188027,0.278085
20240301T144011,GE,0.441961,0.263669
