#,Company,Symbol,Portfolio%,Sector
264,Xylem Inc,XYL,0.07%,Industrials
265,Electronic Arts Inc,EA,0.07%,Communication Services
266,Dollar General Corp.,DG,0.07%,Consumer Defensive
267,"Ppg Industries, Inc.",PPG,0.07%,Basic Materials
268,The Kraft Heinz Company,KHC,0.07%,Consumer Defensive
269,Biogen Inc.,BIIB,0.07%,Healthcare
270,"Xcel Energy, Inc.",XEL,0.07%,Utilities
271,Tractor Supply Co,TSCO,0.07%,Consumer Cyclical
272,Wabtec Inc.,WAB,0.07%,Industrials
273,Vici Properties Inc.,VICI,0.07%,Real Estate
274,On Semiconductor Corp,ON,0.07%,Technology
275,Ansys Inc,ANSS,0.07%,Technology
276,"The Hartford Financial Services Group, Inc.",HIG,0.07%,Financial Services
277,"Extra Space Storage, Inc.",EXR,0.07%,Real Estate
278,The Hershey Company,HSY,0.07%,Consumer Defensive
279,Fair Isaac Corporation,FICO,0.06%,Technology
280,"Equifax, Incorporated",EFX,0.06%,Industrials
281,Ebay Inc,EBAY,0.06%,Consumer Cyclical
282,"Avalonbay Communities, Inc.",AVB,0.06%,Real Estate
283,Edison International,EIX,0.06%,Utilities
284,Mettler-Toledo International,MTD,0.06%,Healthcare
285,Fortive Corporation,FTV,0.06%,Technology
286,"West Pharmaceutical Services, Inc.",WST,0.06%,Healthcare
287,"Keysight Technologies, Inc.",KEYS,0.06%,Technology
288,"Church & Dwight Co., Inc.",CHD,0.06%,Consumer Defensive
289,Howmet Aerospace Inc.,HWM,0.06%,Industrials
290,"Cbre Group, Inc.",CBRE,0.06%,Real Estate
291,Lyondellbasell Industries N.v. Class A,LYB,0.06%,Basic Materials
292,Willis Towers Watson Public Limited Companys,WTW,0.06%,Financial Services
293,Targa Resources Corp.,TRGP,0.06%,Energy
294,"Wec Energy Group, Inc.",WEC,0.06%,Utilities
295,T Rowe Price Group Inc,TROW,0.06%,Financial Services
296,"Cardinal Health, Inc.",CAH,0.06%,Healthcare
297,Dollar Tree Inc.,DLTR,0.06%,Consumer Defensive
298,Dover Corporation,DOV,0.06%,Industrials
299,Fifth Third Bancorp,FITB,0.06%,Financial Services
300,Charter Comm Inc Del Cl a,CHTR,0.06%,Communication Services
301,"Zimmer Biomet Holdings, Inc.",ZBH,0.06%,Healthcare
302,"Pultegroup, Inc.",PHM,0.06%,Consumer Cyclical
303,"Nvr, Inc.",NVR,0.06%,Consumer Cyclical
304,M&t Bank Corp.,MTB,0.06%,Financial Services
305,Hp Inc.,HPQ,0.06%,Technology
306,Corning Incorporated,GLW,0.06%,Technology
307,"American Water Works Company, Inc",AWK,0.05%,Utilities
308,"Builders Firstsource, Inc.",BLDR,0.05%,Industrials
309,"Raymond James Financial, Inc.",RJF,0.05%,Financial Services
310,Western Digital Corp.,WDC,0.05%,Technology
311,Take-Two Interactive Software Inc,TTWO,0.05%,Communication Services
312,Broadridge Financial Solutions Inc,BR,0.05%,Technology
313,"Nasdaq, Inc.",NDAQ,0.05%,Financial Services
314,Weyerhaeuser Company,WY,0.05%,Real Estate
315,State Street Corporation,STT,0.05%,Financial Services
316,Iron Mountain Inc.,IRM,0.05%,Real Estate
317,Dte Energy Company,DTE,0.05%,Utilities
318,Entergy Corporation,ETR,0.05%,Utilities
319,Genuine Parts Company,GPC,0.05%,Consumer Cyclical
320,Equity Residential,EQR,0.05%,Real Estate
321,Align Technology Inc,ALGN,0.05%,Healthcare
322,Hewlett Packard Enterprise Company,HPE,0.05%,Technology
323,Garmin Ltd,GRMN,0.05%,Technology
324,"Corpay, Inc.",CPAY,0.05%,Technology
325,Ball Corporation,BALL,0.05%,Consumer Cyclical
326,Hubbell Incorporated,HUBB,0.05%,Industrials
327,"Axon Enterprise, Inc.",AXON,0.05%,Industrials
328,International Flavors & Fragrances Inc.,IFF,0.05%,Basic Materials
329,"Ptc, Inc",PTC,0.05%,Technology
330,Deckers Outdoor Corp,DECK,0.05%,Consumer Cyclical
331,Coterra Energy Inc.,CTRA,0.05%,Energy
332,Sba Communications Corp,SBAC,0.05%,Real Estate
333,"Netapp, Inc",NTAP,0.05%,Technology
334,Eversource Energy,ES,0.05%,Utilities
335,Veralto Corporation,VLTO,0.05%,Industrials
336,Steel Dynamics Inc,STLD,0.05%,Basic Materials
337,Baxter International Inc.,BAX,0.05%,Healthcare
338,Aptiv Plc,APTV,0.05%,Consumer Cyclical
339,Steris Plc,STE,0.05%,Healthcare
340,Invitation Homes Inc.,INVH,0.05%,Real Estate
341,"Ulta Beauty, Inc.",ULTA,0.05%,Consumer Cyclical
342,"Molina Healthcare, Inc.",MOH,0.05%,Healthcare
343,Ppl Corporation,PPL,0.05%,Utilities
344,Firstenergy Corp.,FE,0.05%,Utilities
345,Huntington Bancshares Inc,HBAN,0.05%,Financial Services
346,Illumina Inc,ILMN,0.05%,Healthcare
347,"Tyler Technologies, Inc.",TYL,0.04%,Technology
348,"Brown & Brown, Inc.",BRO,0.04%,Financial Services
349,"First Solar, Inc.",FSLR,0.04%,Technology
350,Ameren Corporation,AEE,0.04%,Utilities
351,"Mccormick & Company, Incorporated Non-Vtg Cs",MKC,0.04%,Consumer Defensive
352,Omnicom Group Inc.,OMC,0.04%,Communication Services
353,"Cboe Global Markets, Inc.",CBOE,0.04%,Financial Services
354,"Darden Restaurants, Inc.",DRI,0.04%,Consumer Cyclical
355,Synchrony Financial,SYF,0.04%,Financial Services
356,Waters Corp,WAT,0.04%,Healthcare
357,Jacobs Solutions Inc.,J,0.04%,Industrials
358,Regions Financial Corp.,RF,0.04%,Financial Services
359,"Centerpoint Energy, Inc.",CNP,0.04%,Utilities
360,Clorox Company,CLX,0.04%,Consumer Defensive
361,"Alexandria Real Estate Equities, Inc.",ARE,0.04%,Real Estate
362,"Expedia Group, Inc.",EXPE,0.04%,Consumer Cyclical
363,"Warner Bros. Discovery, Inc. Series a",WBD,0.04%,Communication Services
364,Hologic Inc,HOLX,0.04%,Healthcare
365,"Leidos Holdings, Inc.",LDOS,0.04%,Technology
366,Avery Dennison Corp.,AVY,0.04%,Consumer Cyclical
367,"Ventas, Inc.",VTR,0.04%,Real Estate
368,Teledyne Technologies Incorporated,TDY,0.04%,Technology
369,"The Cooper Companies, Inc.",COO,0.04%,Healthcare
370,"Teradyne, Inc.",TER,0.04%,Technology
371,Cincinnati Financial Corp,CINF,0.04%,Financial Services
372,Domino's Pizza Inc.,DPZ,0.04%,Consumer Cyclical
373,Atmos Energy Corporation,ATO,0.04%,Utilities
374,Cms Energy Corporation,CMS,0.04%,Utilities
375,"Principal Financial Group, Inc.",PFG,0.04%,Financial Services
376,"Tyson Foods, Inc.",TSN,0.04%,Consumer Defensive
377,"United Airlines Holdings, Inc.",UAL,0.04%,Industrials
378,Northern Trust Corp,NTRS,0.04%,Financial Services
379,"Textron, Inc.",TXT,0.04%,Industrials
380,Laboratory Corporation of America Holdings,LH,0.04%,Healthcare
381,Las Vegas Sands Corp.,LVS,0.04%,Consumer Cyclical
382,Eqt Corp,EQT,0.04%,Energy
383,Skyworks Solutions Inc,SWKS,0.04%,Technology
384,Seagate Technology Holdings Plcs,STX,0.04%,Technology
385,Idex Corporation,IEX,0.04%,Industrials
386,"Expeditors International of Washington, Inc.",EXPD,0.04%,Industrials
387,"Nrg Energy, Inc.",NRG,0.04%,Utilities
388,"Citizens Financial Group, Inc.",CFG,0.04%,Financial Services
389,Marathon Oil Corporation,MRO,0.04%,Energy
390,Southwest Airlines Co.,LUV,0.04%,Industrials
391,Factset Research Systems,FDS,0.04%,Financial Services
392,"Essex Property Trust, Inc",ESS,0.04%,Real Estate
393,"Everest Group, Ltd.",EG,0.04%,Financial Services
394,Masco Corporation,MAS,0.04%,Industrials
395,W.R. Berkley Corporation,WRB,0.04%,Financial Services
