Time Published,Ticker,Overall Sentiment Score,Ticker Sentiment Score
20240122T031500,JCI,0.243229,0.081916
20240120T112446,BK,0.266751,0.227182
20240117T123100,DLR,-0.102872,-0.242879
20240120T112446,MET,0.266751,0.227182
20240119T225018,NUE,0.120197,0.183607
20240121T134000,D,0.26117,0.198409
20240118T102100,STZ,0.08272,0.135975
20240116T151529,IDXX,0.10308,0.03001
20240118T194419,FIS,0.331734,0.041068
20240119T035000,AME,0.312486,0.204537
20240117T134600,PSA,0.261101,0.089715
20240120T151348,LHX,0.050355,0.0
20240120T151348,CCI,0.050355,0.0
20240119T220100,A,-0.042033,0.031816
20240119T141500,GIS,0.155778,0.045289
20240116T204516,COR,0.328909,0.084533
20240117T144011,PRU,0.328695,0.470859
20240116T162000,YUM,0.321686,0.338949
20240121T193000,CMI,0.063126,0.037828
20240119T175000,CNC,0.326517,0.118449
20240121T125300,MNST,0.347748,0.585659
20240117T153700,RSG,0.387654,0.133731
20240119T132700,FAST,0.07165,0.031138
20240118T203000,SYY,0.287327,0.149595
20240119T123900,LEN,0.036083,0.184133
20240118T152500,PAYX,0.328684,0.049574
20240118T080000,PWR,0.362505,0.0
20240116T100900,CSGP,-0.200187,0.052378
20240119T201028,HUM,0.129617,0.106156
20240119T180200,MLM,0.273329,0.08681
20240119T115000,EXC,0.228069,0.089129
20240116T132700,PCG,0.328695,0.264734
20240119T211500,KR,0.177687,0.193665
20240118T175400,IT,0.46039,0.109574
20240111T183017,VMC,0.24159,0.083071
20240120T151348,HAL,0.050355,0.0
20240121T172200,DVN,0.226399,0.285274
20240119T130700,PEG,0.231709,0.042181
20240119T174400,ACGL,0.127843,0.0
20240117T142400,CTSH,0.307348,0.467554
20240121T102000,RCL,0.154914,0.144472
20240120T151348,BKR,0.050355,0.0
20240118T221505,ODFL,0.130216,0.0
20240112T153600,GPN,0.354111,0.226332
20240119T071500,ROK,0.47502,0.207638
20240119T134400,ED,0.339053,0.146194
20240119T170000,ADM,0.337163,0.189512
20240120T151348,RMD,0.050355,0.0
20240119T183042,DD,0.136604,0.333669
20240119T150700,EA,0.442958,0.114812
20240119T175500,PPG,0.267997,0.118216
20240121T153000,BIIB,0.212301,0.366365
20240119T134300,XEL,0.305392,0.068303
20240119T201600,TSCO,0.323925,0.0
20240119T175400,WAB,0.033225,0.188998
20240122T020000,ON,0.019252,-0.224544
20240118T220400,ANSS,-0.126246,-0.043454
20240109T143300,HIG,0.261996,-0.005031
